|6.6.6
in17a_1.tab                                                                                         
           2
T(K)    
   673.000800000000     
   8.08079191920000     
         100
P(bar)  
   30000.0500000000     
   505.049494950000     
         100
           5
rho,kg/m3      vp,km/s        vs,km/s        C1M(HP)        M(HP),vo%     
  3497.763       8.090533       4.557721      0.4557318      0.1723030    
  3496.691       8.082391       4.552512                NaN            NaN
  3496.087       8.077560       4.549707                NaN            NaN
  3495.277       8.072447       4.546659                NaN            NaN
  3495.058       8.068343       4.544480                NaN            NaN
  3494.904       8.064363       4.542399                NaN            NaN
  3494.304       8.059922       4.539804                NaN            NaN
  3494.077       8.055775       4.537652                NaN            NaN
  3493.060       8.050547       4.534411                NaN            NaN
  3493.935       8.048356       4.533958                NaN            NaN
  3493.312       8.043829       4.531335                NaN            NaN
  3494.842       8.043196       4.532120                NaN            NaN
  3495.759       8.041180       4.531837                NaN            NaN
  3494.816       8.035995       4.528738                NaN            NaN
  3497.704       8.037931       4.531783                NaN            NaN
  3501.029       8.040993       4.535735                NaN            NaN
  3502.659       8.040869       4.537012                NaN            NaN
  3505.981       8.044014       4.541142                NaN            NaN
  3507.335       8.043437       4.542063                NaN            NaN
  3510.593       8.046649       4.546315                NaN            NaN
  3514.288       8.050866       4.551439                NaN            NaN
  3518.876       8.057113       4.558344                NaN            NaN
  3518.620       8.053363       4.556747                NaN            NaN
  3517.123       8.047114       4.552973                NaN            NaN
  3515.612       8.040821       4.549180                NaN            NaN
  3514.129       8.034675       4.545459                NaN            NaN
  3512.662       8.028531       4.541775                NaN            NaN
  3511.144       8.022229       4.537973                NaN            NaN
  3509.632       8.015924       4.534190                NaN            NaN
  3508.154       8.009864       4.530499                NaN            NaN
  3506.683       8.003742       4.526835                NaN            NaN
  3505.209       7.997639       4.523171                NaN            NaN
  3503.738       7.991565       4.519516                NaN            NaN
  3502.280       7.985550       4.515901                NaN            NaN
  3500.839       7.979606       4.512346                NaN            NaN
  3499.292       7.973174       4.508527                NaN            NaN
  3497.944       7.967704       4.505193                NaN            NaN
  3496.360       7.961190       4.501312                NaN            NaN
  3494.914       7.955215       4.497751                NaN            NaN
  3493.486       7.949360       4.494245                NaN            NaN
  3492.114       7.943737       4.490880                NaN            NaN
  3490.762       7.938156       4.487573                NaN            NaN
  3489.294       7.932183       4.483969                NaN            NaN
  3487.947       7.943950       4.494346                NaN            NaN
  3488.715       7.990876       4.530319                NaN            NaN
  3487.455       7.985580       4.527165                NaN            NaN
  3486.033       7.979678       4.523650                NaN            NaN
  3484.592       7.973718       4.520101                NaN            NaN
  3483.153       7.967739       4.516542                NaN            NaN
  3481.735       7.961883       4.513069                NaN            NaN
  3480.311       7.955957       4.509557                NaN            NaN
  3478.985       7.950477       4.506296                NaN            NaN
  3461.102       7.854007       4.489869                NaN            NaN
  3460.590       7.850394       4.488740                NaN            NaN
  3459.167       7.843591       4.485600                NaN            NaN
  3457.745       7.836667       4.482453                NaN            NaN
  3456.355       7.829817       4.479382                NaN            NaN
  3454.971       7.822999       4.476364                NaN            NaN
  3453.648       7.816279       4.473474                NaN            NaN
  3452.258       7.809268       4.470453                NaN            NaN
  3450.887       7.802152       4.467458                NaN            NaN
  3449.538       7.795139       4.464559                NaN            NaN
  3448.167       7.787866       4.461596                NaN            NaN
  3446.770       7.780289       4.458569                NaN            NaN
  3428.339       7.947716       4.418159      0.7754093       6.589794    
  3427.497       7.946960       4.416616      0.7642426       6.588081    
  3426.714       7.943721       4.414250      0.7642426       6.589259    
  3426.008       7.943811       4.413188      0.7538204       6.587640    
  3425.220       7.940569       4.410827      0.7538204       6.588811    
  3424.391       7.940050       4.409458      0.7426537       6.587491    
  3423.487       7.938663       4.407725      0.7314871       6.586230    
  3422.690       7.935419       4.405372      0.7314871       6.587389    
  3421.789       7.934207       4.403648      0.7201134       6.585903    
  3420.987       7.930960       4.401297      0.7201134       6.587056    
  3420.085       7.929764       4.399625      0.7084093       6.585660    
  3419.278       7.926513       4.397278      0.7084093       6.586808    
  3418.402       7.925513       4.395701      0.6964982       6.585451    
  3417.469       7.924040       4.393917      0.6853315       6.584229    
  3416.655       7.920785       4.391576      0.6853315       6.585364    
  3415.664       7.918792       4.389539      0.6720183       6.584019    
  3414.846       7.915532       4.387200      0.6720183       6.585149    
  3413.845       7.913765       4.385240      0.6600204       6.584310    
  3412.820       7.911546       4.383044      0.6473648       6.582875    
  3412.276       7.911516       4.382238      0.6451315       6.583445    
  3416.255       7.931903       4.395861      0.6462621       6.593867    
  3417.137       7.934015       4.398094      0.6473648       6.597696    
  3421.670       7.947702       4.410310      0.6406648       6.613814    
  3428.087       7.967196       4.427370      0.6317315       6.622519    
  3427.268       7.963878       4.425052      0.6317315       6.623604    
  3434.905       7.987341       4.445367      0.6257759       6.634224    
  3434.090       7.983994       4.443049      0.6257759       6.635302    
  3444.439       8.016419       4.470583       0.000000       6.646189    
  3450.974       8.036278       4.487843       0.000000       6.648416    
  3457.593       8.056544       4.505391       0.000000       6.652537    
  3466.657       8.072027       4.521239      0.4868357       5.659946    
  3476.339       8.088454       4.538003      0.4811250       4.585388    
  3484.635       8.101082       4.551776      0.4733716       3.608290    
  3493.789       8.114202       4.566480      0.4654428       2.488407    
  3502.832       8.128150       4.581507      0.4576750       1.453802    
  3501.657       8.115593       4.573264      0.4562654      0.9334646    
  3500.001       8.101544       4.563831      0.4555951      0.4313665    
  3498.599       8.089254       4.555616                NaN            NaN
  3497.867       8.084376       4.552704                NaN            NaN
